Date,Time,"Distance(KM)","Pace(Time/KM)"
4/22/18,52.53,10.09,5.14
6/12/18,26.24,4.45,5.56
6/25/18,24.48,5.01,4.57
7/8/18,25.0,5.21,4.48
7/21/18,24.47,4.82,5.9
11/9/18,22.46,4.21,5.24
11/18/18,14.11,2.55,5.34
12/12/18,14.51,3.03,4.54
1/2/19,19.52,3.68,5.24
1/10/19,25.10,5.19,4.51
1/16/19,25.25,5.06,5.01
1/23/19,27.54,5.01,5.34
1/29/19,24.30,5.32,4.36
2/10/19,30.40,6.21,4.56
2/17/19,36.09.,7.42,4.52
2/26/19,15.37,3.55,4.32
3/4/19,25.14,5.41,4.40
3/16/19,25.36,5.55,4.37
3/23/19,56.32,10.21,5.32
4/6/19,38.53,8.01,4.51
4/14/19,43.55,10.04,4.22
